,date_begin,date_end,n_results,pmids,exclusion_threshold
10,2022/01/16,2022/01/22,40,"35050841, 35049519, 35049436, 35049214, 35047896, 35047377, 35046815, 35046345, 35045877, 35045715, 35044117, 35043830, 35042765, 35042388, 35042344, 35039180, 35038341, 35038280, 35037916, 35037810, 35037789, 35037778, 35037775, 35036418, 35035642, 35035641, 35035640, 35035639, 35035638, 35035637, 35035635, 35035634, 35035633, 35035615, 35033079, 35032858, 35031769, 35031027, 34968394, 34935858",
11,2022/01/23,2022/01/29,111,"35089657, 35089650, 35088393, 35088232, 35088067, 35087782, 35087781, 35087696, 35087374, 35087286, 35086859, 35086803, 35086802, 35086772, 35084792, 35084487, 35084464, 35084462, 35084451, 35084448, 35084439, 35084122, 35083917, 35083130, 35082550, 35082193, 35082103, 35082012, 35082011, 35082008, 35082007, 35081939, 35081043, 35081041, 35081040, 35081039, 35080761, 35078907, 35078837, 35078766, 35078763, 35078434, 35077810, 35076810, 35076642, 35076632, 35076623, 35076621, 35076609, 35076604, 35076593, 35076590, 35076576, 35076573, 35076570, 35076506, 35075930, 35075166, 35074855, 35074854, 35074853, 35074852, 35074851, 35074813, 35074360, 35073999, 35073598, 35073326, 35073291, 35072391, 35072149, 35071019, 35070313, 35070309, 35070238, 35069205, 35068248, 35067857, 35067477, 35067476, 35067216, 35066897, 35066891, 35065886, 35065513, 35065264, 35064396, 35064019, 35063745, 35063368, 35063367, 35062737, 35062727, 35062092, 35060897, 35060795, 35060443, 35060419, 35058977, 35058226, 35057765, 35056999, 35056322, 35055762, 35053682, 35052883, 35052310, 35052253, 35052247, 35041883, 34742917",
12,2022/01/30,2022/02/05,69,"35120174, 35118756, 35117984, 35116495, 35116252, 35116213, 35116211, 35116210, 35116209, 35116208, 35116207, 35116206, 35115349, 35115261, 35114845, 35113932, 35113724, 35112381, 35111550, 35110510, 35110454, 35110447, 35110446, 35110445, 35110444, 35109916, 35108281, 35107651, 35107031, 35105611, 35105603, 35105467, 35105270, 35105158, 35103505, 35103383, 35102778, 35101950, 35101859, 35101858, 35101367, 35101135, 35100089, 35099344, 35098745, 35098744, 35096400, 35096194, 35095369, 35094980, 35094977, 35094908, 35094528, 35093864, 35093409, 35093205, 35093049, 35093037, 35092805, 35092599, 35092566, 35092116, 35091845, 35090816, 35090815, 35090814, 35090571, 35090486, 35090479",
13,2022/02/06,2022/02/12,74,"35146780, 35146427, 35146339, 35146329, 35146001, 35145831, 35145559, 35145346, 35145341, 35145044, 35144864, 35142014, 35141726, 35141725, 35141723, 35140953, 35140146, 35139838, 35139146, 35139107, 35139035, 35138704, 35138252, 35136945, 35136936, 35136920, 35136913, 35136476, 35135959, 35135766, 35135583, 35135535, 35135388, 35132895, 35132528, 35132050, 35132006, 35131764, 35131378, 35130945, 35130496, 35130448, 35129789, 35129031, 35128517, 35128316, 35127360, 35126891, 35126195, 35125906, 35125293, 35125200, 35125199, 35125198, 35125197, 35125196, 35125195, 35125194, 35125193, 35125190, 35125189, 35124762, 35124391, 35123980, 35123903, 35123895, 35122753, 35122366, 35121572, 35121571, 35121041, 35120864, 35120863, 35120858",
14,2022/02/13,2022/02/19,69,"35180569, 35180273, 35180236, 35178969, 35178934, 35178144, 35177888, 35177374, 35176759, 35175184, 35174525, 35173616, 35172940, 35172827, 35172734, 35172420, 35172202, 35171997, 35169356, 35168915, 35168911, 35168890, 35168875, 35168802, 35168554, 35168391, 35168091, 35167898, 35166780, 35166143, 35165546, 35165094, 35165042, 35164988, 35164607, 35163437, 35162889, 35162670, 35162358, 35162213, 35160314, 35160166, 35160018, 35158928, 35158260, 35157667, 35157383, 35156937, 35156557, 35156131, 35156130, 35156030, 35155714, 35155350, 35153160, 35152746, 35152426, 35151871, 35151625, 35151583, 35151418, 35151315, 35151310, 35151024, 35150434, 35150183, 35149574, 35148901, 34970774",
15,2022/02/20,2022/02/26,106,"35213897, 35213469, 35213293, 35213107, 35212232, 35211832, 35211684, 35210972, 35210962, 35209830, 35208544, 35207803, 35206942, 35206900, 35206894, 35206255, 35205314, 35203860, 35203852, 35203822, 35203804, 35203777, 35203764, 35203747, 35203744, 35202083, 35202082, 35202080, 35202078, 35202077, 35202075, 35202073, 35202072, 35202068, 35202067, 35201525, 35200057, 35200055, 35199580, 35199579, 35198506, 35198505, 35198298, 35197854, 35197658, 35197254, 35197155, 35197154, 35197153, 35197152, 35197149, 35197075, 35196187, 35195483, 35195479, 35195104, 35194175, 35193547, 35192802, 35192781, 35192554, 35191505, 35191159, 35190803, 35190512, 35190456, 35190455, 35190453, 35190450, 35190430, 35190423, 35190168, 35190167, 35190165, 35190163, 35190161, 35190159, 35190158, 35190157, 35190156, 35190155, 35190154, 35190153, 35190152, 35190151, 35189400, 35188934, 35188928, 35188826, 35188048, 35187614, 35187576, 35187525, 35187415, 35186557, 35186433, 35184758, 35184616, 35184333, 35184003, 35183460, 35183459, 35181643, 35180860, 35110443, 35045990",
16,2022/02/27,2022/03/05,69,"35245914, 35245312, 35241990, 35241981, 35241980, 35241634, 35241436, 35241184, 35241170, 35240532, 35240506, 35240242, 35240037, 35239471, 35239230, 35238282, 35238257, 35238008, 35237029, 35236731, 35236407, 35236166, 35235950, 35235757, 35235647, 35235547, 35234708, 35234102, 35234072, 35233279, 35232489, 35231942, 35231719, 35231398, 35230633, 35229966, 35229691, 35228377, 35228376, 35228375, 35228374, 35228373, 35228372, 35228199, 35228198, 35227321, 35227265, 35227050, 35226701, 35225344, 35225341, 35225044, 35223304, 35222018, 35221837, 35221828, 35221745, 35221460, 35221235, 35221234, 35220648, 35219572, 35219279, 35218218, 35218217, 35217861, 35215255, 35214609, 35214052",
17,2022/03/06,2022/03/12,58,"35276480, 35274995, 35274562, 35274535, 35274083, 35272985, 35271509, 35270813, 35270472, 35270231, 35270206, 35268704, 35268042, 35264858, 35264519, 35264179, 35264175, 35264048, 35262700, 35262691, 35262672, 35262457, 35261856, 35261305, 35261078, 35260413, 35258694, 35257281, 35257163, 35256284, 35256158, 35256028, 35255863, 35255196, 35255122, 35254209, 35253776, 35253504, 35253177, 35252954, 35252953, 35252615, 35252407, 35251950, 35250599, 35250327, 35249822, 35249052, 35248541, 35248484, 35248331, 35247263, 35247148, 35247147, 35246971, 35246117, 34800830, 34741596",
18,2022/03/13,2022/03/19,67,"35303305, 35302652, 35301856, 35300810, 35300730, 35300683, 35300662, 35300357, 35300027, 35300026, 35300024, 35300022, 35300020, 35300019, 35300017, 35299697, 35297507, 35296458, 35296394, 35296385, 35296307, 35296196, 35296179, 35295325, 35294449, 35294017, 35294016, 35294010, 35293076, 35292814, 35292459, 35292455, 35292260, 35292212, 35292032, 35291316, 35291025, 35291005, 35290653, 35290438, 35290392, 35290378, 35289427, 35289036, 35288835, 35288094, 35287972, 35287764, 35287746, 35286905, 35286053, 35285970, 35285290, 35284196, 35284082, 35283066, 35282155, 35281922, 35281210, 35281136, 35278308, 35278307, 35277404, 35277381, 35277361, 35277145, 34990294",
19,2022/03/20,2022/03/26,93,"35333208, 35333022, 35333017, 35333015, 35332931, 35332788, 35332787, 35332557, 35332064, 35331980, 35331617, 35331488, 35331197, 35331122, 35331048, 35331037, 35330421, 35329431, 35328842, 35327673, 35327033, 35327028, 35326981, 35326862, 35326844, 35326793, 35325584, 35325201, 35325143, 35325134, 35325047, 35325035, 35324362, 35323859, 35322454, 35321755, 35320485, 35320289, 35318920, 35318713, 35318162, 35317803, 35317473, 35316690, 35315159, 35314763, 35314621, 35314619, 35314617, 35314616, 35314448, 35314424, 35314119, 35314118, 35313880, 35313632, 35311594, 35311397, 35310539, 35310405, 35310300, 35310187, 35308926, 35308574, 35307471, 35307311, 35307310, 35307309, 35307100, 35307099, 35307098, 35307096, 35307095, 35307094, 35307093, 35307090, 35307089, 35307088, 35307086, 35307085, 35307084, 35307083, 35307082, 35307017, 35306683, 35306287, 35305926, 35305609, 35304601, 35304413, 35304228, 35303864, 35303814",
