,date_begin,date_end,n_results,pmids,exclusion_threshold
30,2022/06/05,2022/06/11,65,"35688776, 35688723, 35688687, 35688461, 35687540, 35685634, 35685594, 35685555, 35685526, 35685510, 35685451, 35683804, 35680946, 35677699, 35678204, 35678128, 35677869, 35677698, 35677264, 35676873, 35676727, 35676676, 35676644, 35676011, 35675751, 35675343, 35675120, 35675066, 35673176, 35672207, 35671841, 35671342, 35670587, 35669700, 35669305, 35669302, 35668482, 35668277, 35668005, 35667723, 35667463, 35667462, 35667146, 35666478, 35665362, 35664832, 35664412, 35662711, 35662698, 35662689, 35661933, 35660852, 35660794, 35660285, 35658955, 35658810, 35657965, 35657747, 35657743, 35657741, 35657740, 35656303, 35656287, 35655381, 35655244",
31,2022/06/12,2022/06/18,64,"35715111, 35715110, 35715109, 35715107, 35715106, 35715105, 35715104, 35715103, 35715102, 35715101, 35715100, 35715098, 35715096, 35715095, 35715094, 35713738, 35711863, 35711170, 35710898, 35706055, 35705434, 35705364, 35705337, 35710400, 35710392, 35710114, 35709421, 35709136, 35708606, 35707861, 35707460, 35706589, 35704937, 35704875, 35704704, 35704702, 35704467, 35704458, 35702922, 35702683, 35701826, 35701808, 35701570, 35701314, 35701281, 35701208, 35701064, 35700952, 35699862, 35699243, 35698115, 35698052, 35696282, 35695831, 35695713, 35695229, 35694013, 35693549, 35693446, 35693434, 35691859, 35691797, 35691255, 35690564",
32,2022/06/19,2022/06/25,91,"35750567, 35750108, 35748864, 35748502, 35747999, 35747699, 35747414, 35746819, 35746535, 35743759, 35742606, 35742165, 35742128, 35742066, 35740166, 35739046, 35738663, 35738661, 35738438, 35738224, 35738029, 35737896, 35737857, 35737449, 35736781, 35736780, 35736779, 35736778, 35736777, 35736775, 35736774, 35736773, 35736772, 35736771, 35735765, 35735120, 35734338, 35733607, 35733223, 35732427, 35732271, 35731643, 35731635, 35731467, 35731094, 35731087, 35728970, 35728951, 35728909, 35728818, 35728628, 35728163, 35728076, 35727762, 35726977, 35726679, 35726381, 35726199, 35726144, 35725728, 35725537, 35725517, 35725265, 35723936, 35723880, 35722828, 35721182, 35721126, 35721109, 35721038, 35719834, 35719659, 35719432, 35719101, 35719016, 35718715, 35718714, 35718713, 35718683, 35718393, 35717529, 35717481, 35717191, 35717159, 35716077, 35716053, 35715815, 35715742, 35715725, 35715569, 35715321",
33,2022/06/26,2022/07/02,71,"35778317, 35777844, 35776902, 35776294, 35775387, 35775245, 35774011, 35773225, 35773167, 35773164, 35773118, 35773088, 35771697, 35770934, 35770294, 35770196, 35770137, 35769840, 35769839, 35768867, 35768817, 35768308, 35768216, 35768076, 35765693, 35765206, 35764850, 35764417, 35764416, 35764415, 35764413, 35764412, 35764411, 35764410, 35763396, 35763307, 35762931, 35762314, 35761284, 35761018, 35760590, 35760580, 35760564, 35760557, 35760437, 35759701, 35759634, 35758862, 35758766, 35757892, 35757566, 35757195, 35757118, 35756825, 35755717, 35754581, 35752924, 35752923, 35752922, 35752921, 35752920, 35752919, 35752917, 35752602, 35752295, 35751746, 35751160, 35751159, 35751145, 35442072, 34978215",
34,2022/07/03,2022/07/09,63,"35804428, 35804275, 35804130, 35803671, 35803669, 35803668, 35803634, 35803606, 35803592, 35803458, 35802809, 35801194, 35801163, 35801161, 35801158, 35801134, 35800339, 35800269, 35799387, 35799385, 35799184, 35799164, 35799160, 35799036, 35798508, 35797304, 35796902, 35796846, 35794961, 35794851, 35794285, 35794225, 35794077, 35793968, 35792151, 35792149, 35792148, 35791577, 35791477, 35790983, 35790361, 35790331, 35790213, 35789071, 35788213, 35788124, 35787811, 35787174, 35786788, 35786594, 35786208, 35785801, 35784261, 35784108, 35784105, 35784104, 35782690, 35781820, 35781704, 35781687, 35781567, 35781507, 35778805",
35,2022/07/10,2022/07/16,82,"35841030, 35840960, 35840140, 35839623, 35837814, 35836815, 35836746, 35836104, 35835724, 35835686, 35834737, 35834530, 35834302, 35834092, 35833242, 35833013, 35832802, 35832569, 35831793, 35831783, 35831730, 35830891, 35830229, 35830025, 35830016, 35829951, 35829822, 35829729, 35822346, 35821552, 35821147, 35820913, 35820869, 35820140, 35820136, 35820135, 35820134, 35820133, 35820131, 35820130, 35820124, 35819277, 35818740, 35818372, 35818277, 35818275, 35817072, 35815891, 35813761, 35813697, 35813573, 35813531, 35813530, 35813528, 35813527, 35813525, 35813287, 35812997, 35812151, 35812147, 35812145, 35810412, 35810342, 35810054, 35809912, 35809911, 35809910, 35809909, 35809906, 35809905, 35809904, 35809903, 35809902, 35809901, 35809900, 35809899, 35809010, 35808979, 35805672, 35805553, 35805468, 35302484",
36,2022/07/17,2022/07/23,64,"35868151, 35867534, 35867307, 35867108, 35867030, 35866463, 35866296, 35864038, 35864036, 35863830, 35863072, 35862219, 35861664, 35860649, 35860014, 35854383, 35854313, 35854278, 35854263, 35853693, 35853692, 35853691, 35858706, 35858479, 35857602, 35856577, 35856096, 35855987, 35855918, 35850770, 35850725, 35850724, 35850551, 35849336, 35849136, 35849127, 35848948, 35848055, 35847472, 35847469, 35847468, 35847467, 35847466, 35847464, 35847461, 35847459, 35847458, 35847030, 35846501, 35846437, 35846246, 35845564, 35845556, 35844320, 35843802, 35811806, 35842688, 35842597, 35842397, 35842299, 35842297, 35842106, 35841846, 35841469",
37,2022/07/24,2022/07/30,103,"35906649, 35906499, 35905264, 35905260, 35905241, 35905133, 35904858, 35903532, 35903528, 35903527, 35903526, 35903525, 35903323, 35903286, 35903180, 35901229, 35902481, 35902196, 35902181, 35900352, 35900034, 35900004, 35899435, 35898673, 35898263, 35898260, 35898259, 35898256, 35898254, 35898249, 35898246, 35898244, 35898242, 35898240, 35897865, 35897414, 35897405, 35896358, 35896357, 35896285, 35895097, 35894322, 35893728, 35893727, 35893726, 35893724, 35893722, 35893721, 35893719, 35893718, 35893716, 35893715, 35893714, 35893712, 35893710, 35893709, 35893708, 35893705, 35893307, 35893207, 35893191, 35890423, 35890417, 35890305, 35886614, 35886551, 35886453, 35886282, 35886120, 35885814, 35885791, 35885760, 35885734, 35885694, 35884230, 35884175, 35884134, 35883189, 35882822, 35882533, 35881917, 35881618, 35880865, 35880789, 35880221, 35879963, 35879849, 35879848, 35879840, 35879147, 35877554, 35877472, 35876085, 35875042, 35874866, 35873587, 35873287, 35872540, 35869691, 35869633, 35869466, 35868964, 35852959",
38,2022/07/31,2022/08/06,94,"35931343, 35930555, 35929617, 35929568, 35928298, 35928259, 35927690, 35927161, 35926866, 35925971, 35925815, 35925547, 35924710, 35924671, 35924640, 35924228, 35924066, 35923833, 35923386, 35923382, 35922709, 35922229, 35922057, 35922043, 35921139, 35921075, 35919808, 35919807, 35919806, 35919805, 35919803, 35919801, 35919800, 35919799, 35919798, 35919797, 35919796, 35919794, 35919791, 35919790, 35918687, 35918240, 35918204, 35917280, 35917116, 35916907, 35916756, 35916546, 35915837, 35915705, 35915498, 35915491, 35914923, 35914913, 35914854, 35914853, 35914851, 35914850, 35914849, 35914847, 35914846, 35914843, 35914840, 35913890, 35913500, 35913421, 35912833, 35912495, 35912379, 35912137, 35912000, 35911528, 35911243, 35910816, 35910488, 35910298, 35909919, 35909716, 35909715, 35909713, 35909712, 35909321, 35908952, 35908949, 35908944, 35908942, 35908940, 35908897, 35908891, 35908142, 35907370, 35907162, 35906797, 35512267",
39,2022/08/07,2022/08/13,59,"35962450, 35962367, 35961939, 35961938, 35961937, 35961721, 35961713, 35961681, 35960736, 35958890, 35958792, 35958047, 35957787, 35957656, 35956960, 35956173, 35954990, 35953461, 35953379, 35953378, 35953377, 35952848, 35952847, 35951218, 35948970, 35947475, 35947138, 35946933, 35946853, 35946835, 35945560, 35944699, 35943099, 35942810, 35942582, 35942561, 35942386, 35942359, 35942358, 35942357, 35942356, 35942184, 35941069, 35940595, 35940491, 35938485, 35938480, 35938183, 35938080, 35937306, 35935922, 35935003, 35934666, 35933598, 35933349, 35932795, 35930252, 35876827, 35731644",
40,2022/08/14,2022/08/20,36,"35984396, 35984054, 35983764, 35983762, 35983649, 35981874, 35980967, 35980283, 35980210, 35979934, 35979912, 35978336, 35977885, 35977268, 35977131, 35977066, 35976863, 35976677, 35976371, 35976174, 35975957, 35974684, 35973934, 35972988, 35972501, 35972228, 35970728, 35969589, 35968452, 35967469, 35966898, 35965841, 35965233, 35962911, 35962583, 35526280",
41,2022/08/21,2022/08/27,102,"36028751, 36027607, 36027448, 36026768, 36018467, 36017809, 36017807, 36017785, 36016243, 36016241, 36016176, 36016124, 36015293, 36015156, 36014460, 36013297, 36013259, 36013216, 36011946, 36011791, 36011765, 36011723, 36011692, 36011690, 36011579, 36011453, 36011198, 36011188, 36011146, 36011109, 36011097, 36011091, 36010964, 36010002, 36009993, 36009950, 36007236, 36006950, 36006935, 36006021, 36005940, 36005938, 36005936, 36005934, 36005933, 36005932, 36005226, 36004843, 36003624, 36003232, 36002947, 36002310, 36002245, 36002045, 36001473, 36001468, 36001103, 36000642, 36000636, 36000448, 36000299, 36000285, 35999778, 35999571, 35999428, 35998941, 35998940, 35998197, 35997864, 35997489, 35997159, 35996880, 35996419, 35996393, 35996155, 35995695, 35995694, 35995612, 35994459, 35994393, 35994324, 35994180, 35994031, 35993624, 35993387, 35993220, 35992770, 35991694, 35991693, 35991683, 35990783, 35989427, 35989151, 35989150, 35987842, 35987720, 35987672, 35987631, 35986928, 35986241, 35985978, 35985958",
42,2022/08/28,2022/09/03,98,"36055708, 36055707, 36055706, 36055705, 36055700, 36055694, 36055692, 36055691, 36055690, 36054994, 36053913, 36053765, 36053762, 36053761, 36052841, 36052826, 36052652, 36052608, 36052449, 36051822, 36051610, 36050942, 36049791, 36049547, 36049545, 36048926, 36048762, 36047534, 36047515, 36047381, 36047249, 36047224, 36047223, 36047222, 36047221, 36047219, 36047218, 36047199, 36046971, 36046350, 36046349, 36045963, 36045795, 36045385, 36044721, 36044343, 36043662, 36043623, 36042992, 36042955, 36042676, 36042508, 36041964, 36041856, 36041855, 36040320, 36039568, 36039563, 36039495, 36039456, 36039373, 36039001, 36038998, 36038997, 36038996, 36038994, 36038522, 36038458, 36038438, 36037328, 36035318, 36034792, 36034490, 36034332, 36034015, 36033127, 36033126, 36033125, 36033120, 36033119, 36033118, 36033116, 36033115, 36033113, 36033112, 36033111, 36033110, 36032653, 36032513, 36032031, 36031952, 36031547, 36031545, 36031527, 36031477, 36029952, 35132556, 34785497",
43,2022/09/04,2022/09/10,65,"36085121, 36084067, 36083990, 36083099, 36083006, 36082956, 36082927, 36082890, 36082146, 36082145, 36082143, 36082017, 36081922, 36081919, 36081918, 36081916, 36081538, 36081537, 36081535, 36081472, 36079846, 36079117, 36079082, 36078707, 36078618, 36078274, 36075057, 36073295, 36072918, 36072438, 36071741, 36071740, 36071738, 36071736, 36070597, 36070430, 36070355, 36069440, 36069288, 36069199, 36068143, 36067264, 36067260, 36067137, 36066156, 36064524, 36063594, 36063403, 36063398, 36063397, 36062944, 36062533, 36062453, 36060610, 36060508, 36059357, 36057722, 36057589, 36057584, 36056791, 36056788, 36056662, 36056234, 36055965, 36055930",
44,2022/09/11,2022/09/17,66,"36114459, 36114100, 36113036, 36112604, 36112421, 36112324, 36111419, 36111010, 36110553, 36110542, 36110532, 36109756, 36109333, 36108084, 36106268, 36106156, 36105506, 36105487, 36105206, 36104805, 36104209, 36103398, 36102463, 36102460, 36102210, 36102178, 36102016, 36101748, 36101672, 36101553, 36101532, 36100818, 36100635, 36100521, 36099084, 36099081, 36099018, 36098836, 36098619, 36097239, 36096881, 36096865, 36096846, 36096283, 36094680, 36094556, 36094441, 36094069, 36093791, 36091832, 36091769, 36091548, 36091186, 36090828, 36090669, 36090649, 36089458, 36088328, 36088208, 36088188, 36087590, 36087586, 36087297, 36087114, 36076191, 35461779",
45,2022/09/18,2022/09/24,103,"36150356, 36149825, 36149666, 36149587, 36149105, 36148562, 36148429, 36148411, 36147424, 36146558, 36146488, 36145426, 36145312, 36143974, 36143284, 36143184, 36141986, 36141915, 36141441, 36141318, 36141242, 36140003, 36139990, 36139951, 36139938, 36139929, 36139925, 36138622, 36138303, 36137928, 36137927, 36137888, 36137887, 36137632, 36137622, 36137621, 36136847, 36136846, 36136845, 36136844, 36136843, 36136842, 36136841, 36136840, 36136837, 36136836, 36136835, 36136215, 36131922, 36131887, 36129507, 36129251, 36128498, 36127279, 36127278, 36127277, 36127276, 36127275, 36127240, 36127239, 36125097, 36124985, 36124766, 36124326, 36123632, 36123250, 36123233, 36123232, 36122086, 36122083, 36122080, 36122416, 36122167, 36121842, 36121830, 36121366, 36121071, 36120151, 36119751, 36119342, 36118374, 36117878, 36117877, 36117125, 36117124, 36117123, 36117122, 36117121, 36117120, 36117119, 36117106, 36117105, 36116000, 36115760, 36115759, 36115758, 36115757, 36115681, 36115620, 36115001, 36049546, 36049544, 35724711",
46,2022/09/25,2022/10/01,85,"36180937, 36180847, 36180366, 36180334, 36180176, 36179117, 36179116, 36179108, 36178881, 36178832, 36176570, 36176427, 36175892, 36175870, 36175352, 36175273, 36174959, 36174193, 36173988, 36171673, 36171670, 36171668, 36171666, 36171663, 36171156, 36170940, 36170933, 36170895, 36169929, 36169402, 36169377, 36168548, 36168509, 36168492, 36168491, 36168451, 36167762, 36167584, 36166613, 36165801, 36165733, 36165085, 36164846, 36164614, 36164506, 36164175, 36163126, 36163125, 36163012, 36161966, 36160402, 36160293, 36160160, 36159406, 36159065, 36157618, 36156267, 36156065, 36156015, 36155954, 36155176, 36154989, 36154966, 36154965, 36154964, 36154963, 36154962, 36154960, 36154959, 36154958, 36154957, 36154955, 36154954, 36154952, 36154834, 36153818, 36153643, 36153521, 36153269, 36153244, 36153038, 36152491, 36151026, 36151025, 35798622",
47,2022/10/02,2022/10/08,79,"36207708, 36207365, 36207271, 36207038, 36207032, 36207031, 36206374, 36205419, 36205087, 36204812, 36204524, 36204520, 36204499, 36203236, 36202712, 36202711, 36202594, 36202422, 36202421, 36201650, 36201495, 36201194, 36201111, 36200957, 36200484, 36200429, 36199492, 36198682, 36198477, 36198073, 36197787, 36197406, 36197011, 36196779, 36196607, 36196443, 36196333, 36196225, 36195963, 36195335, 36195017, 36194490, 36194370, 36194261, 36193947, 36193931, 36193689, 36193227, 36193225, 36193223, 36192695, 36192532, 36192350, 36192343, 36192245, 36190635, 36189738, 36189654, 36189454, 36189414, 36187029, 36186251, 36186248, 36186243, 36186105, 36184507, 36184506, 36184445, 36184385, 36184243, 36184007, 36183227, 36183224, 36183223, 36183221, 36183213, 36183203, 36182631, 36181369",
48,2022/10/09,2022/10/15,72,"36241488, 36241476, 36241403, 36241377, 36241376, 36240532, 36240214, 36240174, 36239755, 36239598, 36239574, 36239126, 36238562, 36233497, 36232215, 36232195, 36231605, 36231505, 36231341, 36231307, 36229765, 36229756, 36228028, 36227627, 36227431, 36226225, 36225669, 36225609, 36225265, 36224350, 36223613, 36222805, 36222800, 36222170, 36220754, 36220668, 36220334, 36220178, 36220177, 36220176, 36219305, 36219005, 36218988, 36218955, 36218952, 36218440, 36217874, 36217375, 36212547, 36216993, 36216755, 36216753, 36216498, 36215215, 36215104, 36214937, 36214581, 36214524, 36212991, 36211685, 36211624, 36210873, 36210084, 36209306, 36209260, 36209035, 36209034, 36208954, 36207954, 36207942, 36207878, 34785495",
49,2022/10/16,2022/10/22,89,"36270908, 36270780, 36270665, 36270664, 36270663, 36270661, 36269748, 36269289, 36269237, 36269031, 36268411, 36268130, 36268129, 36267757, 36266176, 36266175, 36266174, 36265864, 36265833, 36264995, 36264686, 36264659, 36264359, 36264082, 36263537, 36263511, 36263132, 36262226, 36262221, 36261340, 36261303, 36261208, 36259684, 36259502, 36258309, 36256773, 36256765, 36258259, 36258258, 36258191, 36257007, 36256921, 36256854, 36256517, 36255033, 36254939, 36254513, 36254511, 36254326, 36254266, 36254058, 36254046, 36253284, 36253283, 36252179, 36251348, 36251312, 36250275, 36249939, 36249938, 36249772, 36247825, 36247485, 36246448, 36246447, 36246446, 36246445, 36246444, 36246443, 36246441, 36246440, 36246439, 36246438, 36246437, 36246435, 36246030, 36244883, 36244853, 36244641, 36244233, 36243738, 36243696, 36243689, 36243653, 36243121, 36243061, 36242567, 36242543, 36242519",
50,2022/10/23,2022/10/29,116,"36307184, 36306474, 36306060, 36305802, 36305688, 36304940, 36304939, 36304693, 36304692, 36304691, 36304690, 36304689, 36304686, 36304684, 36304683, 36304682, 36304681, 36304677, 36304676, 36304675, 36303594, 36303235, 36303089, 36302979, 36301649, 36301261, 36300863, 36300296, 36299881, 36299641, 36299640, 36298515, 36294342, 36294222, 36293938, 36292538, 36292392, 36292370, 36292312, 36292280, 36292267, 36289994, 36289964, 36289961, 36289541, 36289174, 36288796, 36287602, 36287544, 36287458, 36287457, 36287456, 36287455, 36287454, 36287453, 36287452, 36287451, 36287450, 36287449, 36287448, 36287447, 36287446, 36287443, 36287441, 36287439, 36287438, 36287437, 36287388, 36287276, 36287267, 36285598, 36285106, 36284545, 36283796, 36283794, 36283793, 36283729, 36283721, 36283720, 36283707, 36283681, 36282928, 36282927, 36282925, 36282867, 36282834, 36282414, 36282371, 36281763, 36281567, 36281358, 36281090, 36280556, 36278203, 36277971, 36277969, 36277966, 36277455, 36277308, 36277307, 36275889, 36275867, 36274644, 36274593, 36274169, 36273820, 36273287, 36273258, 36272964, 36272963, 36272941, 36272134, 36271614, 36271347, 36265594, 35993812",
51,2022/10/30,2022/11/05,95,"36333229, 36333027, 36332928, 36332924, 36332923, 36332920, 36332919, 36332918, 36332917, 36332915, 36332327, 36332164, 36332073, 36331910, 36331545, 36331446, 36331050, 36330843, 36330281, 36330095, 36329535, 36329466, 36329439, 36328548, 36328455, 36328454, 36328385, 36328384, 36327312, 36327045, 36327038, 36326657, 36325719, 36325535, 36324680, 36323945, 36323944, 36323492, 36323472, 36322947, 36322797, 36322679, 36322296, 36322132, 36319945, 36319449, 36319075, 36319074, 36319073, 36319072, 36318806, 36318295, 36317745, 36317739, 36317184, 36316205, 36316176, 36316078, 36315507, 36315431, 36314863, 36314664, 36314582, 36314361, 36314296, 36314233, 36314123, 36312802, 36311825, 36311824, 36311485, 36311307, 36311306, 36311305, 36311301, 36310814, 36310809, 36310786, 36310784, 36309771, 36309770, 36309769, 36309768, 36309765, 36309764, 36309758, 36309744, 36309737, 36309709, 36309706, 36309481, 36308760, 36308341, 36307843, 34893467",0.0003128647949779
52,2022/11/06,2022/11/12,58,"36356049, 36356039, 36355916, 36355873, 36353211, 36353051, 36353006, 36352419, 36352313, 36350980, 36350877, 36350612, 36350019, 36349367, 36348485, 36348443, 36347542, 36347541, 36347540, 36347539, 36347538, 36347532, 36346932, 36346872, 36346543, 36346148, 36345515, 36344335, 36342566, 36342565, 36342064, 36342061, 36342029, 36341555, 36341234, 36341037, 36340852, 36340851, 36340739, 36340632, 36340622, 36340621, 36340620, 36338183, 36337761, 36337596, 36337367, 36337359, 36337350, 36337295, 36337134, 36336895, 36336618, 36336318, 36335072, 36333748, 36333734, 36333705",0.0004929044167511
53,2022/11/13,2022/11/19,109,"36400712, 36400711, 36400710, 36400709, 36400708, 36400707, 36400319, 36399862, 36399382, 36398492, 36397102, 36397073, 36395051, 36394786, 36394784, 36394173, 36388630, 36388627, 36388623, 36388263, 36387344, 36387343, 36387335, 36387331, 36387044, 36386610, 36386608, 36386607, 36386606, 36386605, 36386274, 36386189, 36386007, 36385559, 36384948, 36384851, 36383560, 36383338, 36382361, 36382156, 36381624, 36380982, 36380383, 36380352, 36380020, 36379866, 36379864, 36379437, 36378759, 36378546, 36378148, 36377503, 36376213, 36376052, 36376038, 36375849, 36375848, 36375847, 36375692, 36375534, 36375533, 36375532, 36375531, 36374614, 36374428, 36374361, 36374122, 36373673, 36373327, 36373198, 36373197, 36373173, 36372643, 36372641, 36372639, 36371741, 36371740, 36371584, 36371398, 36371308, 36371271, 36371179, 36370890, 36370423, 36370399, 36369652, 36369328, 36369327, 36369076, 36369075, 36369074, 36369073, 36368986, 36368938, 36368882, 36368879, 36367601, 36367376, 36366968, 36366940, 36366825, 36364885, 36362830, 36361432, 36361404, 36360926, 36358214, 36358183, 36358115",0.0002940111095085
54,2022/11/20,2022/11/26,117,"36427345, 36427337, 36427228, 36427222, 36426549, 36425878, 36425808, 36425350, 36425349, 36425222, 36425113, 36424294, 36424124, 36422884, 36422106, 36421639, 36421244, 36419090, 36419002, 36418986, 36415210, 36418632, 36418133, 36418123, 36418118, 36417473, 36417170, 36416568, 36415769, 36415763, 36414429, 36413668, 36413577, 36412829, 36412826, 36412824, 36412822, 36412821, 36412819, 36412818, 36412817, 36412816, 36412815, 36411827, 36411230, 36411117, 36410821, 36410765, 36409404, 36408041, 36407983, 36407819, 36407439, 36407089, 36406165, 36405601, 36405508, 36405506, 36405504, 36404831, 36404259, 36404258, 36403122, 36402697, 36402696, 36402693, 36402691, 36402690, 36402518, 36402517, 36402220, 36401764, 36401737, 36401298, 36401291, 36386602, 36326146, 36309766, 30137825, 29630246, 30860695, 30726003, 36112500, 36097251, 36081923, 29763066, 36040741, 35886679, 35788539, 31334950, 32965891, 32809759, 32644627, 31335032, 35698133, 32644713, 35668722, 31855395, 32809561, 35601583, 35588093, 35519083, 30725798, 32965872, 35428552, 35422115, 35190164, 35144489, 35083127, 35072647, 35061044, 35054090, 34944950, 34943740, 34894345, 34878990, 34849543",0.000294490167289
55,2022/11/27,2022/12/03,72,"36461142, 36461141, 36461137, 36460402, 36459989, 36459709, 36458847, 36458560, 36457541, 36456409, 36455895, 36455186, 36453508, 36453217, 36453069, 36452954, 36452222, 36452047, 36451851, 36451776, 36450586, 36450563, 36450529, 36450506, 36450306, 36448580, 36448384, 36448339, 36448193, 36447806, 36447792, 36447711, 36446996, 36446995, 36446994, 36446993, 36446745, 36446714, 36446671, 36446349, 36446135, 36446056, 36445844, 36445767, 36445764, 36445409, 36443866, 36443815, 36443812, 36443800, 36443775, 36443464, 36443082, 36442902, 36441676, 36440741, 36440669, 36440455, 36439993, 36439568, 36438819, 36438784, 36437757, 36437522, 36437154, 36434785, 36434367, 36434366, 36432417, 36429676, 36429529, 35871365",0.0002687580854399
56,2022/12/04,2022/12/10,72,"36494739, 36494733, 36494676, 36494278, 36493606, 36493396, 36485148, 36484539, 36484253, 36484225, 36483794, 36483514, 36483511, 36483442, 36483427, 36483412, 36483368, 36483364, 36483352, 36483337, 36483332, 36483089, 36482416, 36481091, 36480802, 36480784, 36480447, 36480345, 36479324, 36478735, 36478301, 36477845, 36476280, 36476261, 36476049, 36475283, 36474605, 36474407, 36474275, 36474239, 36473787, 36473552, 36473132, 36472962, 36472949, 36472945, 36472932, 36472875, 36472332, 36472081, 36471895, 36471566, 36471391, 36471333, 36471288, 36470732, 36469659, 36469229, 36469215, 36468254, 36467980, 36467756, 36466186, 36465854, 36465853, 36465845, 36465842, 36465587, 36464555, 36463172, 36463010, 36461655",0.0003525159234413
57,2022/12/11,2022/12/17,78,"36527122, 36527119, 36527057, 36527035, 36526611, 36526321, 36525567, 36525478, 36524709, 36524585, 36523752, 36521891, 36521466, 36521197, 36520879, 36520798, 36520577, 36520575, 36520573, 36520569, 36520567, 36520565, 36520564, 36520563, 36520560, 36520558, 36520557, 36520556, 36520555, 36520554, 36520553, 36519623, 36519457, 36519288, 36518872, 36518676, 36518045, 36517662, 36517405, 36516366, 36516106, 36515780, 36515779, 36515064, 36514878, 36514744, 36514741, 36514725, 36513153, 36512134, 36512030, 36511759, 36510642, 36510270, 36510110, 36509836, 36506828, 36506648, 36506516, 36505945, 36505655, 36505565, 36504666, 36504615, 36504500, 36503903, 36503811, 36503683, 36500502, 36498446, 36498368, 36498010, 36497830, 36496310, 36494764, 36494761, 36460965, 36454520",0.0003046957455808
58,2022/12/18,2022/12/24,104,"36564839, 36564331, 36564330, 36564329, 36564328, 36564160, 36564103, 36563744, 36562830, 36562404, 36561911, 36561857, 36561340, 36561019, 36560550, 36560451, 36560426, 36558943, 36554036, 36553974, 36553971, 36553270, 36553128, 36551883, 36551380, 36550841, 36550629, 36545377, 36550585, 36550397, 36549933, 36549932, 36549929, 36549744, 36549723, 36549642, 36548670, 36548334, 36548333, 36548332, 36548331, 36548330, 36548329, 36548327, 36548326, 36548325, 36548324, 36548323, 36548321, 36548319, 36548318, 36548317, 36548316, 36548315, 36548314, 36548312, 36548299, 36547938, 36547799, 36547129, 36545646, 36544860, 36544400, 36544389, 36544367, 36544366, 36543658, 36543656, 36543256, 36543253, 36542585, 36542458, 36542223, 36542037, 36542033, 36541698, 36540455, 36539215, 36539020, 36538239, 36537932, 36537465, 36537458, 36537037, 36536350, 36535693, 36535692, 36535005, 36534990, 36534056, 36533762, 36533469, 36533205, 36532224, 36531607, 36531605, 36529895, 36529621, 36529485, 36528707, 36528538, 36528537, 36456031, 35921043",0.0004580491280648
59,2022/12/25,2022/12/31,46,"36585685, 36585297, 36584268, 36583615, 36582998, 36582997, 36582301, 36582170, 36582167, 36581431, 36580706, 36580125, 36580124, 36579594, 36578909, 36578097, 36577678, 36577616, 36577571, 36577056, 36576184, 36575006, 36573840, 36573809, 36573091, 36573000, 36572992, 36572445, 36572442, 36572275, 36571697, 36571285, 36569686, 36569369, 36568895, 36568049, 36568045, 36568038, 36567828, 36567647, 36566496, 36566276, 36566119, 36566098, 36565605, 36546831",0.0002416643721517
